movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,poster_url
Big Hero 6,2014-11-07,Adventure,PG,222527828,229249222,https://image.tmdb.org/t/p/w200/2mxS4wUimwlLmI1xp6QW6NSU361.jpg
Into the Woods,2014-12-25,Musical,PG,128002372,130894237,
Strange Magic,2015-01-23,Adventure,PG,12429583,12429583,https://image.tmdb.org/t/p/w200/vjCdrK8gGRFnyuZb1j9BzgN2RaY.jpg
"McFarland, USA",2015-02-20,Drama,PG,44480275,44480275,https://image.tmdb.org/t/p/w200/yyhniD8A7Mv6SOn8oo1Ba2K0mKc.jpg
Cinderella,2015-03-13,Drama,PG,201151353,201151353,https://image.tmdb.org/t/p/w200/j91LJmcWo16CArFOoapsz84bwxb.jpg
Monkey Kingdom,2015-04-17,Documentary,G,16432322,16432322,https://image.tmdb.org/t/p/w200/ngf4XquNwVTm4OFuYcnQAkVyT1H.jpg
Avengers: Age of Ultron,2015-05-01,Action,PG-13,459005868,459005868,https://image.tmdb.org/t/p/w200/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg
Tomorrowland,2015-05-22,Adventure,PG,93436322,93436322,https://image.tmdb.org/t/p/w200/kziYpr5Nfw60P0My8aj1sgCEqed.jpg
Inside Out,2015-06-19,Adventure,PG,356461711,356461711,https://image.tmdb.org/t/p/w200/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg
Ant-Man,2015-07-17,Action,PG-13,180202163,180202163,https://image.tmdb.org/t/p/w200/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg
Bridge of Spies,2015-10-16,Thriller/Suspense,PG-13,72313754,72313754,https://image.tmdb.org/t/p/w200/fmOOjHAQzxr0c1sfcY4qkiSRBH6.jpg
The Good Dinosaur,2015-11-25,Adventure,PG,123087120,123087120,https://image.tmdb.org/t/p/w200/8RSkxOO80btfKjyiC5ZiTaCHIT8.jpg
Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,PG-13,936662225,936662225,
The Finest Hours,2016-01-29,Thriller/Suspense,PG,27569558,27569558,https://image.tmdb.org/t/p/w200/250YNnD82wcR7MDcML4Nt4Bz4pQ.jpg
Zootopia,2016-03-04,Adventure,PG,341268248,341268248,https://image.tmdb.org/t/p/w200/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg
The Jungle Book,2016-04-15,Adventure,PG,364001123,364001123,https://image.tmdb.org/t/p/w200/9BgcTVV43dZ8A1TpuXWkuNTXtfI.jpg
A Beautiful Planet,2016-04-29,Documentary,G,7895708,7895708,https://image.tmdb.org/t/p/w200/9naxphfpDgtArLPKnf0dJgGo7bS.jpg
Captain America: Civil War,2016-05-06,Action,PG-13,408084349,408084349,https://image.tmdb.org/t/p/w200/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
Alice Through the Looking Glass,2016-05-27,Adventure,PG,77042381,77042381,https://image.tmdb.org/t/p/w200/kbGamUkYfgKIYIrU8kW5oc0NatZ.jpg
Finding Dory,2016-06-17,Adventure,PG,486295561,486295561,https://image.tmdb.org/t/p/w200/3UVe8NL1E2ZdUZ9EDlKGJY5UzE.jpg
The BFG,2016-07-01,Adventure,PG,55483770,55483770,https://image.tmdb.org/t/p/w200/vssXmCrfCiARkQ0512oG0wjh2h9.jpg
Pete’s Dragon,2016-08-12,Adventure,PG,76233151,76233151,https://image.tmdb.org/t/p/w200/noShGNQKAgMqNanJL5EiZlf6LCp.jpg
The Light Between Oceans,2016-09-02,Drama,PG-13,12545979,12545979,https://image.tmdb.org/t/p/w200/c9S6VKZPllNgdxBUuI3GYJiqcKO.jpg
Queen of Katwe,2016-09-23,Drama,PG,8874389,8874389,https://image.tmdb.org/t/p/w200/m8V2ud6uhV7qH6wEDoQ4Ujw99ji.jpg
Doctor Strange,2016-11-04,Adventure,PG-13,232532923,232532923,https://image.tmdb.org/t/p/w200/xf8PbyQcR5ucXErmZNzdKR0s8ya.jpg
Moana,2016-11-23,Adventure,PG,246082029,246082029,https://image.tmdb.org/t/p/w200/8Kpmnbbb8Rp1wG99thlcZ9JAUqo.jpg
Rogue One: A Star Wars Story,2016-12-16,Adventure,PG-13,529483936,529483936,https://image.tmdb.org/t/p/w200/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg
